rfc_cliente, nombre_pila, apellido_paterno, apellido_materno,estado, codigo_postal, colonia, calle, numero, email, telefono
'JUAC890101HDF', 'Juan', 'Cárdenas', 'López', 'Ciudad de México', '06000', 'Centro', 'Av. Juárez', '46', 'juan.cardenas@mail.com', '5551000001'
'MARL900202MDF', 'María', 'López', 'Ramírez', 'Ciudad de México', '06000', 'Centro', 'Av. Juárez', '47', 'maria.lopez@mail.com', '5551000002'
'PEDR850303EMX', 'Pedro', 'Ramírez', 'Gómez', 'Estado de México', '53100', 'Naucalpan', 'Av. Lomas Verdes', '1201', 'pedro.ramirez@mail.com', '5512345002'
'ANAR920404EMX', 'Ana', 'Ruiz', 'Torres', 'Estado de México', '53100', 'Naucalpan', 'Av. Lomas Verdes', '1202', 'ana.ruiz@mail.com', '5512345003'
'JORG810505MDF', 'Jorge', 'Martínez', 'Delgado', 'Ciudad de México', '04800', 'Del Carmen', 'Av. Miguel Ángel de Quevedo', '88', 'jorge.martinez@mail.com', '5552003457'
'LORE930606MDF', 'Lorena', 'Castro', 'Silva', 'Ciudad de México', '04800', 'Del Carmen', 'Av. Miguel Ángel de Quevedo', '89', 'lorena.castro@mail.com', '5552003458'
'FERN950707JAL', 'Fernando', 'Sánchez', 'Peña', 'Jalisco', '44100', 'Ladrón de Guevara', 'Av. Vallarta', '2501', 'fernando.sanchez@mail.com', '3334567003'
'LUIS870808JAL', 'Luis', 'Gómez', 'Ruvalcaba', 'Jalisco', '44100', 'Ladrón de Guevara', 'Av. Vallarta', '2502', 'luis.gomez@mail.com', '3334567004'
'PATR960909PUE', 'Patricia', 'Ríos', 'Herrera', 'Puebla', '72190', 'Reserva Territorial Atlixcáyotl', 'Av. Oasis', '2302', 'patricia.rios@mail.com', '2223456013'
'CARL810101PUE', 'Carlos', 'Núñez', 'Morales', 'Puebla', '72190', 'Reserva Territorial Atlixcáyotl', 'Av. Oasis', '2303', 'carlos.nunez@mail.com', '2223456014'
'EMMA890212QRO', 'Emma', 'Hernández', 'Salas', 'Querétaro', '76100', 'Juriquilla', 'Blvd. Bernardo Quintana', '3881', 'emma.hernandez@mail.com', '4424561123'
'VICT860414GTO', 'Victor', 'Romero', 'Del Ángel', 'Guanajuato', '37128', 'León', 'Blvd. Aeropuerto', '2105', 'victor.romero@mail.com', '4777894456'
'MART920715MDF', 'Martha', 'Zamora', 'Espinoza', 'Ciudad de México', '05348', 'Santa Fe', 'Av. Vasco de Quiroga', '3801', 'martha.zamora@mail.com', '5557891009'
'ALFR801016YUC', 'Alfredo', 'Cervantes', 'Marín', 'Yucatán', '97000', 'Centro', 'Calle 60', '486', 'alfredo.cervantes@mail.com', '9992345679'
'ROSA931117ROO', 'Rosa', 'Treviño', 'Duarte', 'Quintana Roo', '77500', 'Zona Hotelera', 'Blvd. Kukulcán Km 12.5', 'S/N', 'rosa.trevino@mail.com', '9983456790'
'ISAB940218NLN', 'Isabel', 'Fuentes', 'Avendaño', 'Nuevo León', '64000', 'Centro', 'Av. Pino Suárez', '551', 'isabel.fuentes@mail.com', '8182345679'
'GERA850319BCN', 'Gerardo', 'Del Valle', 'García', 'Baja California', '22000', 'Zona Río', 'Blvd. Agua Caliente', '1234', 'gerardo.valle@mail.com', '6644567891'
'RAFA910420SLP', 'Rafael', 'Pineda', 'Linares', 'San Luis Potosí', '78250', 'Tangamanga', 'Av. Salvador Nava', '3126', 'rafael.pineda@mail.com', '4445678902'
'NANC830521AGS', 'Nancy', 'Mejía', 'Gálvez', 'Aguascalientes', '20200', 'Jardines de la Concepción', 'Av. José María Chávez', '2102', 'nancy.mejia@mail.com', '4496789013'
'ALMJ900601MDF', 'Alma', 'Jiménez', 'Romero', 'Ciudad de México', '06000', 'Centro', 'Av. Juárez', '48', 'alma.jimenez@mail.com', '5551000003'
'BRAG880712EMX', 'Brayan', 'Gutiérrez', 'Navarrete', 'Estado de México', '53100', 'Naucalpan', 'Av. Lomas Verdes', '1203', 'brayan.gutierrez@mail.com', '5512345004'
'CEHV931015MDF', 'Cecilia', 'Hernández', 'Vargas', 'Ciudad de México', '04800', 'Del Carmen', 'Av. Miguel Ángel de Quevedo', '90', 'cecilia.hernandez@mail.com', '5552003459'
'DELP850927JAL', 'Delia', 'Pérez', 'Jiménez', 'Jalisco', '44100', 'Ladrón de Guevara', 'Av. Vallarta', '2503', 'delia.perez@mail.com', '3334567005'
