rfcCliente,nomCli,apPaCli,apMaCli,razonSocialCli,telefonoCli,emailCli,cpC,calleC,cdC,coloniaC,numC
MOOA940615HXX,Amelia,Montanez,Orellana,Amelia Montanez Orellana,7089597717,patriciavarela@gmail.com,49789,Calzada Norte Figueroa,San Asuncion de la Montana,los altos,1
CASK900324HXX,Karla,Casas,Santillan,Karla Casas Santillan,3948685060,alonsoferrer@gmail.com,19661,Periferico El Salvador,Vieja Bosnia y Herzegovina,de la Montana,2
SECB850626HXX,Benito,Serna,Cedillo,Benito Serna Cedillo,2089961939,zzaragoza@laboratorios.com,30373,Pasaje Myanmar,Vieja Sudafrica,los bajos,3
MELJ040205HXX,Julio Cesar,Mendez,Luevano,Julio Cesar Mendez Luevano,6433234959,salgadojose-eduardo@godinez-chacon.biz,7428,Calle Chihuahua,San Indira los altos,los altos,4
MUEA580108HXX,Antonio,Murillo,Espinosa,Antonio Murillo Espinosa,628686044,zochoa@gmail.com,71428,Retorno Nigeria,San Cristal los altos,de la Montana,5
POJR941029HXX,Renato,Portillo,Jaimes,Renato Portillo Jaimes,5889070388,cottoclara@teran.com,79151,Ampliacion Villalpando,Vieja Gambia,los altos,6
HIVR980512HXX,Rocio,Hinojosa,Valenzuela,Rocio Hinojosa Valenzuela,4796083872,evacasas@hotmail.com,73032,Viaducto Comoras,Nueva Bulgaria,los bajos,7
JIRB830904HXX,Barbara,Jiminez,Rocha,Barbara Jiminez Rocha,50999983,targuello@gmail.com,70554,Diagonal Sur Lucio,Nueva Bolivia,los altos,8
GUSC581122HXX,Claudio,Gutierrez,Solorzano,Claudio Gutierrez Solorzano,8735356134,adalberto46@hotmail.com,59863,Boulevard Tlaxcala,San Eva los altos,los bajos,9
BRNH540405HXX,Hilda,Bravo,Nazario,Hilda Bravo Nazario,885265507,olveratrinidad@yahoo.com,48967,Callejon Albania,San Bernabe los bajos,los altos,10
FARF040417HXX,Francisco,Fajardo,Rubio,Francisco Fajardo Rubio,5967319478,noelia62@hotmail.com,42035,Continuacion Hidalgo,San Lilia de la Montana,los altos,11
HAMC960312HXX,Carlota,Haro,Muniz,Carlota Haro Muniz,8663771157,rdelgadillo@yahoo.com,66591,Ampliacion Sosa,San Vanesa los bajos,de la Montana,12
CAPL480417HXX,Laura,Caldera,Perez,Laura Caldera Perez,9511224812,hermelindaleiva@hotmail.com,85020,Continuacion Miranda,San Elvia de la Montana,los bajos,13
