rfc,email,nombre,ap_paterno,ap_materno,fecha_nacimiento,razon_social,cp,estado ,numero,calle,colonia
HELJ690221,Jorge.Hern@correo.com,Jorge,Hernandez,Lara,21/02/1969,Restaurantes Copacabana,15630,Aguascalientes,72,Revolucion,Coracol
GARF941010,Fernando.Garc@correo.com,Fernando,Garcia,Rios,10/10/1994,Restaurantes Copacabana,4970,Durango,59,Eje Central,Haciendas De Coyoacan
MAAM020408,MarcoAntonio.Mart@correo.com,Marco Antonio,Martinez,Avila,08/04/2002,Restaurantes Copacabana,1710,Guanajuato,71,Paseo de la reforma,Las Aguilas
LOAM800620,Miguel.Lope@correo.com,Miguel,Lopez,Alvarado,20/06/1980,Restaurantes Copacabana,2400,Guerrero,56,Alfareros,San Juan Tlihuaca
GODM660826,MariaElena.Gonz@correo.com,Maria Elena,Gonzalez,De La Cruz,26/08/1966,Restaurantes Copacabana,14240,Hidalgo,28,Eje 3 Norte,Lomas De Padierna
ROSY901214,Yolanda.Rodr@correo.com,Yolanda,Rodriguez,Silva,14/12/1990,Restaurantes Copacabana,9810,Jalisco,164,Lopez Portillo,Granjas Esmeralda
PEDF960102,FranciscoJavier.Pere@correo.com,Francisco Javier,Perez,Delgado,02/01/1996,Restaurantes Copacabana,9690,Ciudad de mexico,49,Heriberto Jara,Iztlahuacan
SACR840708,Roberto.Sanc@correo.com,Roberto,Sanchez,Carrillo,08/07/1984,Restaurantes Copacabana,7230,Michoacan,200,Rio Churubusco,Zona Escolar
RASA890424,Alejandra.Rami@correo.com,Alejandra,Ramirez,Solis,24/04/1989,Restaurantes Copacabana,13093,Morelos,155,Carretera Picacho Ajusco,San Sebastian
FLSJ821125,JoseLuis.Flor@correo.com,Jose Luis,Flores,Soto,25/11/1982,Restaurantes Copacabana,8700,Nayarit,62,Calle 11,Juventino Rosas
CRLS701017,Silvia.Cruz@correo.com,Silvia,Cruz,Leon,17/10/1970,Restaurantes Copacabana,7979,Nuevo Leon,121,Av. Heroes,San Juan De Aragon V Seccion
GOFA970630,Arturo.Gome@correo.com,Arturo,Gomez,Fernandez,30/06/1997,Restaurantes Copacabana,2700,Baja California,181,Calle 7,San Miguel Amantla
MOCS630404,Sergio.Mora@correo.com,Sergio,Morales,Cervantes,04/04/1963,Restaurantes Copacabana,7020,Oaxaca,62,Eje 10 Sur,Tepeyac Insurgentes
VAMJ691227,Javier.Vazq@correo.com,Javier,Vazquez,Marquez,27/12/1969,Restaurantes Copacabana,16320,Puebla,167,La Brecha,San Lucas Oriente
JIEM700801,MariaGuadalupe.Jime@correo.com,Maria Guadalupe,Jimenez,Espinosa,01/08/1970,Restaurantes Copacabana,16090,Queretaro,107,Av. Hidalgo ,Caltongo
REMR640722,Rafael.Reye@correo.com,Rafael,Reyes,Mejia,22/07/1964,Restaurantes Copacabana,5200,Quintana Roo,27,Av. Insurgentes Sur,San Jose De Los Cedros
DIVM641019,MiguelAngel.Diaz@correo.com,Miguel Angel,Diaz,Vega,19/10/1964,Restaurantes Copacabana,9290,San Luis Potosi,105,Av. Paseo de la Reforma ,Santa Cruz Meyehualco
TOSM741120,Martha.Torr@correo.com,Martha,Torres,Sandoval,20/11/1974,Restaurantes Copacabana,3410,Sinaloa,91,San Borja,Postal
GUCR660420,Ricardo.Guti@correo.com,Ricardo,Gutierrez,Campos,20/04/1966,Restaurantes Copacabana,7420,Sonora,115,Prologacion Division del Norte,Nueva Atzacoalco
RUNJ620619,Jesus.Ruiz@correo.com,Jesus,Ruiz,Nava,19/06/1962,Restaurantes Copacabana,9180,Tabasco,114,Juan Crisostomo Bonilla,Ermita Zaragoza
AGCJ031219,JuanCarlos.Agui@correo.com,Juan Carlos,Aguilar,Cabrera,19/12/2003,Restaurantes Copacabana,7230,Tamaulipas,26,Enrique Rebsamen,Zona Escolar
MEIA650510,Antonio.Mend@correo.com,Antonio,Mendoza,Ibarra,10/05/1965,Restaurantes Copacabana,9000,Tlaxcala,156,Calzada de Tlalpan,San Pedro
CAEJ870604,Juana.Cast@correo.com,Juana,Castillo,Espinoza,04/06/1987,Restaurantes Copacabana,2710,Baja California Sur,177,Eje 5 Norte ,San Pedro Xalpa
ORSG991123,Gabriela.Orti@correo.com,Gabriela,Ortiz,Santos,23/11/1999,Restaurantes Copacabana,13363,Veracruz ,183,Boulevard Emiliano Zapata ,Tempiluli
MOAV770620,Veronica.More@correo.com,Veronica,Moreno,Acosta,20/06/1977,Restaurantes Copacabana,9319,Yucatan,67,Benito Juarez,Cuchilla Del Moral
RICP891009,Pedro.Rive@correo.com,Pedro,Rivera,Camacho,09/10/1989,Restaurantes Copacabana,9400,Zacatecas,188,Eje 5 Oriente,El Sifon
RAVA620308,Adriana.Ramo@correo.com,Adriana,Ramos,Valdez,08/03/1962,Restaurantes Copacabana,9300,Campeche,102, Benjamiin Franklin ,Guadalupe Del Moral
ROFJ810322,Juan.Rome@correo.com,Juan,Romero,Fuentes,22/03/1981,Restaurantes Copacabana,9910,Coahuila,34,Eje 10 Sur,Los Mirasoles
JUMM910528,Martin.Juar@correo.com,Martin,Juarez,Muñoz,28/05/1991,Restaurantes Copacabana,5219,Colima,190,Av. Insurgentes Sur,Granjas Navidad
ALMA640201,AnaMaria.Alva@correo.com,Ana Maria,Alvarez,Miranda,01/02/1964,Restaurantes Copacabana,3540,Chiapas,77,Universidad,Del Carmen
MEMF660308,Francisco.Mend@correo.com,Francisco,Mendez,Maldonado,08/03/1966,Restaurantes Copacabana,3640,Chihuahua,91,Calzada Tlahuac Chalco,Del Lago
CHRM740404,Margarita.Chav@correo.com,Margarita,Chavez,Robles,04/04/1974,Restaurantes Copacabana,2680,Ciudad de Mexico,165,Av. Gobernadores,Potrero Del Llano
HERR001225,Raul.Herr@correo.com,Raul,Herrera,Rosas,25/12/2000,Restaurantes Copacabana,9310,Queretaro,46,Av. Ojo de Agua,Leyes De Reforma 3A Seccion
MEMP900810,Patricia.Medi@correo.com,Patricia,Medina,Meza,10/08/1990,Restaurantes Copacabana,9000,Quintana Roo,98,Av. Hangares ,Santa Barbara
DOMC031215,Carlos.Domi@correo.com,Carlos,Dominguez,Molina,15/12/2003,Restaurantes Copacabana,9708,San Luis Potosi,93,Eje 8 Sur,Mixcoatl
CATM791112,Maribel.Cast@correo.com,Maribel,Castro,Trejo,12/11/1979,Restaurantes Copacabana,9600,Sinaloa,190,Prolongación Morelos,Santiago Acahualtepec
GURI990110,Irma.Guzm@correo.com,Irma,Guzman,Rosales,10/01/1999,Restaurantes Copacabana,10600,Sonora,197,Poniente 128,El Rosal
VAPE681216,Elizabeth.Varg@correo.com,Elizabeth,Vargas,Pacheco,16/12/1968,Restaurantes Copacabana,10926,Tabasco,132,Eje 6 Sur,Tierra Colorada
VENM881025,Manuel.Vela@correo.com,Manuel,Velazquez,Navarro,25/10/1988,Restaurantes Copacabana,4330,Tamaulipas,78,Acueducto,El Rosedal
SASG770522,Guadalupe.Sala@correo.com,Guadalupe,Salazar,Salgado,22/05/1977,Restaurantes Copacabana,10926,Tlaxcala,200,Av. Vasco de Quiroga,Tierra Colorada
ROAC851025,Claudia.Roja@correo.com,Claudia,Rojas,Aguirre,25/10/1985,Restaurantes Copacabana,15510,Baja California Sur,117,Boulevard Lazaro Cardenas,Pensador Mexicano
ORSA671130,Alicia.Orte@correo.com,Alicia,Ortega,Salas,30/11/1967,Restaurantes Copacabana,11320,Veracruz ,133,Dr. Morones Prieto,Anahuac I Seccion
COVM990205,MariaDelCarmen.Cort@correo.com,Maria Del Carmen,Cortes,Velasco,05/02/1999,Restaurantes Copacabana,6800,Yucatan,150,Av. Insurgentes Sur,Obrera
SACM680717,MariaIsabel.Sant@correo.com,Maria Isabel,Santiago,Cardenas,17/07/1968,Restaurantes Copacabana,16070,Zacatecas,28,Calz. Ignacio Zaragoza,Barrio Belen
GUPA850710,Alejandro.Guer@correo.com,Alejandro,Guerrero,Pineda,10/07/1985,Restaurantes Copacabana,9630,Campeche,121,Prolongación Morelos ,San Miguel Teotongo Seccion Torres
COOL730825,Laura.Cont@correo.com,Laura,Contreras,Orozco,25/08/1973,Restaurantes Copacabana,11270,Coahuila,168,Av. Adolfo Lopez Mateos ,Argentina Antigua
BASL820207,Leticia.Baut@correo.com,Leticia,Bautista,Serrano,07/02/1982,Restaurantes Copacabana,9870,Colima,182, Circuito Interior Churubusco,Santa Maria Tomatlan
ESRA750922,Araceli.Estr@correo.com,Araceli,Estrada,Rangel,22/09/1975,Restaurantes Copacabana,14260,Chiapas,45,Av. Insurgentes Sur ,Miguel Hidalgo 1A Seccion
LUVJ851208,Jose.Luna@correo.com,Jose,Luna,Valencia,08/12/1985,Restaurantes Copacabana,10320,Chihuahua,174,Av. Chapultepec ,El Tanque
GUER851209,RosaMaria.Guer@correo.com,Rosa Maria,Guerra,Escobedo,09/12/1985,Restaurantes Copacabana,6800,Ciudad de Mexico,47,Prolongacion Cuba,Obrera
