curp,nombre,ap_paterno,ap_materno,parentesco,numero_empleado
SATR941102FGOAAN16,Rodrigo,Saavedra,Teran,Padre,2
CAVL161026FUEAAS44,Luis Enrique,Castaneda,Venegas,Primo(a),5
PAPC060712MNAZDO55,Catalina,Paz,Pulido,Conyuge ,42
ARCH950310MTOSAS23,Heriberto,Arcos,Casas,Conyuge ,19
HERL870613FIAASO58,Lilia,Heredia,Reynoso,Tio(a),39
BUGE970713FZAENA29,Esperanza,Bustamante,Galeana,Abuelo(a),40
VICO120830FIAENA09,Olivia,Vite,Cadena,Madre,48
BUGJ830808FINSLO87,Joaquin,Bustos,Gordillo,Hermano(a),16
SECA901218FAMALO45,Abraham,Serna,Cedillo,Hijo(a),21
DESA031222FFOAOR88,Adolfo,De La,Salvador,Hijo(a),7
BASI180723MANAÑA55,Ivan,Bahena,Saldaña,Conyuge ,4
MOPJ920415FANNÑA64,Jose Juan,Mondragon,Piña,Hermano(a),1
ALAG021105FLONCA82,Gonzalo,Aleman,Abarca,Hijo(a),6
MELB200816FTOAMA06,Benito,Mena,Lima,Padre,17
MEMM010617MIAONO28,Martha Patricia,Merino,Manzano,Conyuge ,49
CAAM060209FONSLA79,Maria Concepcion,Casillas,Alcala,Conyuge ,43
PEOL050301MZOAAZ98,Lorenzo,Pena,Ordaz,Tio(a),9
VEOJ980301FIOAOS99,Julio,Vergara,Ontiveros,Conyuge ,11
ADMI030101MELEUS47,Isabel,Adame,Matus,Madre,33
MALM820202FROLON75,Maria Del Socorro,Madrigal,Limon,Padre,44
LIRI100613FROADA78,Isidro,Lira,Rueda,Madre,15
RIBR190723MBANES43,Rosalba,Rincon,Briones,Conyuge ,28
JAMR920108MELOTA53,Raquel,Jasso,Mota,Conyuge ,34
CAHS830321MIANSA17,Sonia,Carreon,Hinojosa,Madre,30
CARJ150630FCOLAN18,Juan Francisco,Canul,Roldan,Primo(a),20
CODF981027FIXOLO69,Felix,Cordero,Delgadillo,Abuelo(a),10
CAYF090823MLASEZ24,Fabiola,Cazares,Yañez,Padre,32
HULM040405MOSORO66,Marcos,Hurtado,Lazaro,Hijo(a),8
CHPM190723MUZNES71,Maria De La Luz,Chacon,Perales,Hijo(a),38
COBJ000629FANATO39,Julian,Correa,Brito,Hijo(a),23
ALNS830824FRARRI93,Sara,Alcocer,Neri,Madre,45
ZATM890423FVAAÑO89,Minerva,Zaragoza,Treviño,Padre,47
BECL160723MDOLIA75,Leonardo,Becerril,Chavarria,Conyuge ,13
BADC030810FNARES58,Carolina,Baltazar,Dorantes,Abuelo(a),25
VACL860721MIOZNA26,Luis Antonio,Valadez,Cardona,Tio(a),24
ROPC170219FONODO70,Concepcion,Rosado,Prado,Primo(a),50
FOVF120211MELATE53,Fidel,Fonseca,Vicente,Conyuge ,12
ZANG841026MANOGA11,German,Zamudio,Noriega,Madre,18
URTB030513MLAADA63,Blanca Estela,Urbina,Tejeda,Hijo(a),36
SAAC941230FNANLO81,Cristina,Santillan,Angulo,Conyuge ,27
MIFA180623FIANCO33,Alma Delia,Millan,Francisco,Primo(a),35
NUMF121210FUSZVO75,Felipe De Jesus,Nunez,Montalvo,Padre,14
COMM951223MERNEL14,Maria Esther,Colin,Miguel,Conyuge ,41
DEGM201001MESSDO79,Maria Dolores,De Los Santos,Garrido,Hijo(a),37
QUSM990126MNAANZ12,Maria Magdalena,Quintana,Saenz,Conyuge ,26
BADG000911MNAORE24,Guillermina,Badillo,De La Torre,Hermano(a),31
VEAO000606MIOZAZ29,Octavio,Velez,Alcaraz,Madre,3
PENM861029MPEACO81,Ma. Guadalupe,Pedraza,Nolasco,Hermano(a),46
LUPK020803MNASTE15,Karina,Luis,Puente,Padre,29
OSRE990326FIOAON94,Emilio,Osuna,Ramon,Hijo(a),22
