telefono,numero_empleado
5507248019,2
5535260228,5
5585747315,42
5559698234,19
5552730126,39
5584441114,40
5545964634,48
5533835040,16
5531943558,21
5592094783,7
5551948760,4
5557251426,1
5513332309,6
5541977325,17
5569704082,49
5516428899,43
5543561361,9
5536335987,11
5579576737,33
5505504664,44
5529631055,15
5588360855,28
5595399641,34
5573831966,30
5593427282,20
5569267886,10
5537968317,32
5513687908,8
5511380368,38
5504934673,23
5530169364,45
5551327564,47
5503738202,13
5530050651,25
5554734776,24
5528976340,50
5542761668,12
5515318214,18
5569725762,36
5529269082,27
5536083492,35
5519564861,14
5544420681,41
5589348295,37
5510413741,26
5528981919,31
5541669523,3
5563833672,46
5577391808,29
5588260416,22
5527804333,2
5545774913,5
5509521463,42
5537459129,19
5593572474,39
5591905681,40
5599541966,48
5564591520,16
5594664586,21
